Project,Module,Priority,Category,FileName,LineNumber,FilePath,Link
DP,dpnextgen,Critical,Password Management: Hardcoded Password,it.js,34,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/it.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA527092069
DP,dpnextgen,Critical,Password Management: Hardcoded Password,ru.js,37,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/ru.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA527050441
DP,dpnextgen,Critical,Password Management: Hardcoded Password,ja.js,35,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/ja.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA527023457
DP,dpnextgen,Critical,Weak Encryption,Draw.js,566,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/ext-4.2.1.883/src/draw/Draw.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526987024
DP,dpnextgen,Critical,Weak Encryption,ext-all-rtl.js,18,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/ext-4.2.1.883/ext-all-rtl.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526908447
DP,dpnextgen,Critical,Weak Encryption,ext-all.js,18,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/ext-4.2.1.883/ext-all.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526852504
DP,dpnextgen,Critical,Weak Encryption,MissedJobExecutions.js,1,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/MissedJobExecutions.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526823918
DP,dpnextgen,Critical,Password Management: Hardcoded Password,pt.js,35,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/pt.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526754657
DP,dpnextgen,Critical,Password Management: Hardcoded Password,zh-cn.js,35,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/zh-cn.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526734329
DP,dpnextgen,Critical,Password Management: Hardcoded Password,fr.js,36,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/fr.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526683057
DP,dpnextgen,Critical,Password Management: Hardcoded Password,tr.js,35,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/tr.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526673547
DP,dpnextgen,Critical,Password Management: Hardcoded Password,pl.js,35,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/pl.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526635854
DP,dpnextgen,Critical,Password Management: Hardcoded Password,geo.js,37,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/geo.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526602576
